Country,Quarter,Amount
Iraq,2022 Q1,4
Iraq,2022 Q2,14
Iraq,2022 Q3,0
Israel,2021 Q1,54
Israel,2021 Q2,47
Israel,2021 Q3,83
Israel,2021 Q4,38
Israel,2022 Q1,29
Israel,2022 Q2,52
Israel,2022 Q3,239
Japan,2021 Q1,175
Japan,2021 Q2,89
Japan,2021 Q3,47
Japan,2021 Q4,227
Japan,2022 Q1,206
Japan,2022 Q2,13
Japan,2022 Q3,3
Jordan,2021 Q1,18
Jordan,2021 Q2,21
Jordan,2021 Q3,15
Jordan,2021 Q4,7
Jordan,2022 Q1,50
Jordan,2022 Q2,4
Jordan,2022 Q3,6
Kuwait,2021 Q1,23
Kuwait,2021 Q2,6
Kuwait,2021 Q3,3
Kuwait,2021 Q4,80
Kuwait,2022 Q1,18
Kuwait,2022 Q2,1
Kuwait,2022 Q3,5
Lebanon,2021 Q1,150
Lebanon,2021 Q2,149
Lebanon,2021 Q3,77
Lebanon,2021 Q4,35
Lebanon,2022 Q1,55
Lebanon,2022 Q2,59
Lebanon,2022 Q3,104
Malaysia,2021 Q1,77
Malaysia,2021 Q2,94
Malaysia,2021 Q3,116
Malaysia,2021 Q4,113
Malaysia,2022 Q1,63
Malaysia,2022 Q2,146
Malaysia,2022 Q3,165
Oman,2021 Q1,156
Oman,2021 Q2,46
Oman,2021 Q3,13
Oman,2021 Q4,382
Oman,2022 Q1,17
Oman,2022 Q2,14
Oman,2022 Q3,13
Pakistan,2021 Q1,44
Pakistan,2021 Q2,105
Pakistan,2021 Q3,78
Pakistan,2021 Q4,83
Pakistan,2022 Q1,114
Pakistan,2022 Q2,246
Pakistan,2022 Q3,172
Philippines,2021 Q1,2
Philippines,2021 Q2,10
Philippines,2021 Q3,61
Philippines,2021 Q4,18
Philippines,2022 Q1,15
Philippines,2022 Q2,3
Philippines,2022 Q3,14
Qatar,2021 Q1,11
Qatar,2021 Q2,36
Qatar,2021 Q3,26
Qatar,2021 Q4,41
Qatar,2022 Q1,8
Qatar,2022 Q2,24
Qatar,2022 Q3,7
Saudi Arabia,2021 Q1,245
Saudi Arabia,2021 Q2,89
Saudi Arabia,2021 Q3,125
Saudi Arabia,2021 Q4,294
Saudi Arabia,2022 Q1,109
Saudi Arabia,2022 Q2,24
Saudi Arabia,2022 Q3,172
Singapore,2021 Q1,1108
Singapore,2021 Q2,654
Singapore,2021 Q3,894
Singapore,2021 Q4,566
Singapore,2022 Q1,449
Singapore,2022 Q2,193
Singapore,2022 Q3,226
South Korea,2021 Q1,114
South Korea,2021 Q2,88
South Korea,2021 Q3,61
South Korea,2021 Q4,91
South Korea,2022 Q1,109
South Korea,2022 Q2,44
South Korea,2022 Q3,69
Sri Lanka,2021 Q1,99
Sri Lanka,2021 Q2,95
Sri Lanka,2021 Q3,166
Sri Lanka,2021 Q4,75
Sri Lanka,2022 Q1,70
Sri Lanka,2022 Q2,94
Sri Lanka,2022 Q3,99
Syria,2021 Q1,1
Syria,2021 Q2,0
Syria,2021 Q3,8
Syria,2021 Q4,3
Syria,2022 Q1,0
Syria,2022 Q2,0
Syria,2022 Q3,0
Taiwan,2021 Q1,34
Taiwan,2021 Q2,7
Taiwan,2021 Q3,20
Taiwan,2021 Q4,2
Taiwan,2022 Q1,16
Taiwan,2022 Q2,0
Taiwan,2022 Q3,0
Thailand,2021 Q1,43
Thailand,2021 Q2,48
Thailand,2021 Q3,201
Thailand,2021 Q4,99
Thailand,2022 Q1,237
Thailand,2022 Q2,48
Thailand,2022 Q3,26
United Arab Emirates,2021 Q1,317
United Arab Emirates,2021 Q2,336
United Arab Emirates,2021 Q3,441
United Arab Emirates,2021 Q4,286
United Arab Emirates,2022 Q1,325
United Arab Emirates,2022 Q2,290
United Arab Emirates,2022 Q3,314
Vietnam,2021 Q1,19
Vietnam,2021 Q2,14
Vietnam,2021 Q3,26
Vietnam,2021 Q4,16
Vietnam,2022 Q1,7
Vietnam,2022 Q2,45
Vietnam,2022 Q3,23
Yemen,2021 Q1,2
Yemen,2021 Q2,0
Yemen,2021 Q3,36
Yemen,2021 Q4,8
Yemen,2022 Q1,0
Yemen,2022 Q2,0
Yemen,2022 Q3,0
Australia,2021 Q1,16
Australia,2021 Q2,30
Australia,2021 Q3,24
Australia,2021 Q4,40
Australia,2022 Q1,61
Australia,2022 Q2,46
Australia,2022 Q3,41
New Zealand,2021 Q1,9
New Zealand,2021 Q2,18
New Zealand,2021 Q3,7
New Zealand,2021 Q4,6
New Zealand,2022 Q1,4
New Zealand,2022 Q2,14
New Zealand,2022 Q3,8
